realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekend,city,id
156.87466392350314,Private room,False,True,2.0,True,1,0,10.0,95.0,1,2.9784678342698663,1.5957331117809848,281.1639316027026,6.230648241688873,697.7272461851815,15.191486355849277,12.48654,41.92498,False,Rome,39143
172.7725434269282,Private room,False,True,2.0,False,1,0,9.0,80.0,1,0.9353708955406698,0.6492693219576785,482.7071926698461,10.696886702768095,1251.5243333724472,27.24920796542156,12.49627,41.90801,False,Rome,39144
277.7453066186613,Entire home/apt,False,False,4.0,False,0,1,9.0,90.0,1,2.203024995409447,0.4946970461885232,691.708997772094,15.328407972396,1625.897266082468,35.40036062623383,12.477,41.907,False,Rome,39145
444.906833750263,Entire home/apt,False,False,6.0,False,1,0,9.0,92.0,2,2.7030096252083085,1.2951526436335408,805.5926414483328,17.85209200321661,2035.8195329080447,44.32552236742629,12.46969,41.90019,False,Rome,39146
131.3912982488953,Private room,False,True,3.0,False,1,0,9.0,91.0,1,1.295968101241546,0.8674554824467151,317.0763690205616,7.026474945977973,836.6228143812444,18.21563388724496,12.51544,41.89463,False,Rome,39147
182.1242372524724,Entire home/apt,False,False,4.0,False,1,0,9.0,89.0,2,1.2855137046135825,0.8651801001474569,317.9860250319345,7.046633102806607,840.4690828302438,18.299377979199765,12.51535,41.8947,False,Rome,39148
117.5975498562177,Private room,False,True,2.0,False,0,1,9.0,90.0,1,1.8833196153382687,0.2030325421099124,245.9793774238021,5.450951573699664,700.3106447201859,15.247734214609007,12.51798,41.91309,False,Rome,39149
184.4621607088584,Entire home/apt,False,False,3.0,False,0,0,9.0,92.0,1,4.2393631954415945,0.508939493230883,384.6786065098727,8.524553877176706,968.6400797802952,21.09002140330009,12.45359,41.9125,False,Rome,39150
147.522970097959,Private room,False,True,2.0,True,0,0,9.0,94.0,1,3.38005447365963,0.6059212989102842,599.6574578754309,13.288527672200397,1467.7021920169957,31.95600852106985,12.46183,41.90463,False,Rome,39151
186.56629181960585,Entire home/apt,False,False,2.0,False,0,1,10.0,96.0,0,5.68416007329823,0.9898261543607078,242.61205040585213,5.376330942084553,560.589073478466,12.205602271587445,12.43471,41.9094,False,Rome,39152
184.4621607088584,Entire home/apt,False,False,2.0,False,1,0,9.0,86.0,1,4.580433885254632,0.5534837247600247,396.8505723485506,8.794287043583767,794.8462616656781,17.306040727392197,12.44711,41.89905,False,Rome,39153
179.7863137960863,Entire home/apt,False,False,4.0,False,1,0,9.0,91.0,1,0.9693584565010464,0.6901130957690702,443.5155949805692,9.82839315937605,1242.22270174367,27.04668525938092,12.498,41.909,False,Rome,39154
101.23208566151544,Private room,False,True,4.0,False,1,0,9.0,92.0,1,4.323792591386169,0.4228599599588447,450.8246603347038,9.990363490839044,983.8799284834676,21.4218358120182,12.45154,41.90982,False,Rome,39155
426.43723844481326,Entire home/apt,False,False,2.0,False,0,1,10.0,100.0,1,1.872758374253141,0.1550358993638822,772.82259214819,17.125901240098013,1596.1376066394698,34.75240906227406,12.48132,41.90718,False,Rome,39156
182.35802959811093,Entire home/apt,False,False,5.0,False,0,0,9.0,87.0,0,4.561748207728858,0.4510460442181658,231.6571483953682,5.133568150426252,648.6938417806547,14.123891105606589,12.481,41.863,False,Rome,39157
107.31068664811912,Private room,False,True,3.0,True,1,0,10.0,94.0,1,4.515209488574575,0.4040163759384597,232.7269080967424,5.157274236638672,644.4900792602173,14.032363361317376,12.48156,41.86328,False,Rome,39158
253.6646950178851,Entire home/apt,False,False,3.0,False,0,1,9.0,88.0,1,0.9049643903507286,0.0945173591187683,791.8769418078317,17.548149390942374,1807.2819593818965,39.34961602436234,12.49366,41.89585,False,Rome,39159
288.2659621723985,Entire home/apt,False,False,4.0,False,0,1,9.0,94.0,1,0.9771137515948404,0.0346634956648907,844.2965764801908,18.70977884582857,1709.4939041469645,37.22049477391854,12.49327,41.89518,False,Rome,39160
255.76882612863253,Entire home/apt,False,False,5.0,False,0,1,9.0,88.0,2,3.953517000918082,1.1264656846685568,312.60506058596013,6.927389868182631,907.9952354346598,19.76961241760196,12.46871,41.8756,False,Rome,39161
341.1030322867229,Entire home/apt,False,False,4.0,True,0,1,10.0,97.0,1,1.9581777628304744,1.0542467059757656,971.235773219916,21.522776510427185,1748.3474180613891,38.06644515027969,12.48,41.895,False,Rome,39162
213.21861922240663,Entire home/apt,False,False,4.0,True,1,0,10.0,98.0,1,4.58881315966926,0.3221335870170007,435.23334066042287,9.644856768264695,849.8556709941785,18.503750428176115,12.44718,41.90461,False,Rome,39163
184.4621607088584,Private room,False,True,2.0,False,1,0,9.0,91.0,1,1.111280756315045,0.84383842206194,458.9105039984783,10.169547383022827,1167.3883263326134,25.417330236739527,12.49613,41.90977,False,Rome,39164
111.7527412152526,Private room,False,True,2.0,True,1,0,10.0,95.0,1,2.678327830209452,0.7725778713093628,291.4288027971426,6.458119814213241,720.0348923563619,15.67718661235131,12.50772,41.87711,False,Rome,39165
111.7527412152526,Private room,False,True,3.0,True,1,0,9.0,97.0,1,2.7593976455957763,0.8370855803173841,285.16900389812935,6.319401434579201,724.4898730294084,15.774184083039442,12.50764,41.87636,False,Rome,39166
262.7825964977906,Entire home/apt,False,False,2.0,False,0,1,9.0,93.0,1,2.730460609944284,1.5805342559172058,738.2046873579541,16.358761634449664,2041.257772101296,44.44392814411884,12.47,41.896,False,Rome,39167
